"Story","Title","Result","Date","Stability","Duration (s)"
"CRUD test for categories","This will create a new category","SUCCESS","2022-06-05T22:28:09.179+01:00[Europe/London]","0.0","2.67"
"CRUD test for categories","Verify if the category was created","SUCCESS","2022-06-05T22:28:11.881+01:00[Europe/London]","0.0","0.46"
"CRUD test for categories","Update the category information and verify the updated information","SUCCESS","2022-06-05T22:28:12.342+01:00[Europe/London]","0.0","0.11"
"CRUD test for categories","Delete the category and verify if the category is deleted!","SUCCESS","2022-06-05T22:28:12.456+01:00[Europe/London]","0.0","0.84"
"CRUD test for products","This will create a new product","SUCCESS","2022-06-05T22:28:14.162+01:00[Europe/London]","0.0","0.06"
"CRUD test for products","Verify if the product was added","SUCCESS","2022-06-05T22:28:14.225+01:00[Europe/London]","0.0","0.91"
"CRUD test for products","Update the product information and verify the updated information","SUCCESS","2022-06-05T22:28:15.139+01:00[Europe/London]","0.0","0.21"
"CRUD test for products","Delete the product and verify if the product is deleted!","SUCCESS","2022-06-05T22:28:15.346+01:00[Europe/London]","0.0","0.03"
"CRUD test for services","This will create a new service","SUCCESS","2022-06-05T22:28:15.418+01:00[Europe/London]","0.0","0.04"
"CRUD test for services","Verify if the service was added","SUCCESS","2022-06-05T22:28:15.457+01:00[Europe/London]","0.0","0.02"
"CRUD test for services","Update the service information and verify the updated information","SUCCESS","2022-06-05T22:28:15.484+01:00[Europe/London]","0.0","0.06"
"CRUD test for services","Delete the service and verify if the service is deleted!","SUCCESS","2022-06-05T22:28:15.547+01:00[Europe/London]","0.0","0.07"
"CRUD test for stores","This will create new store","SUCCESS","2022-06-05T22:28:15.643+01:00[Europe/London]","0.0","0.04"
"CRUD test for stores","Verify if the store was created in application","SUCCESS","2022-06-05T22:28:15.680+01:00[Europe/London]","0.0","0.06"
"CRUD test for stores","Update store information and verify the updated information","SUCCESS","2022-06-05T22:28:15.739+01:00[Europe/London]","0.0","0.09"
"CRUD test for stores","Delete store and verify if the product is deleted","SUCCESS","2022-06-05T22:28:15.831+01:00[Europe/London]","0.0","0.03"
